SZ,VZ,VA,gLAI,BRF_toc,BRF_toc(NIR),BRF_toa,,NDVI
10,50,108,3,0.032274,0.489123,0.046914,,0.876201819
10,50,108,4,0.02961,0.541366,0.045414,,0.896282856
10,50,108,5,0.028893,0.580717,0.045724,,0.905208248
10,50,108,6,0.028617,0.609325,0.044815,,0.91028338
10,50,108,7,0.029207,0.643247,0.044538,,0.913133092
10,50,126,0.01,0.19105,0.283836,0.162522,,0.19538584
10,50,126,0.1,0.173024,0.288237,0.148958,,0.249778325
10,50,126,0.5,0.115723,0.31628,0.106686,,0.464249091
10,50,126,1,0.075165,0.350308,0.077906,,0.646675582
10,50,126,2,0.041536,0.424263,0.054578,,0.821656981
10,50,126,3,0.031501,0.485744,0.046111,,0.878196986
10,50,126,4,0.028811,0.537543,0.044481,,0.89825798
10,50,126,5,0.028076,0.576392,0.044551,,0.907105091
10,50,126,6,0.027784,0.605019,0.043724,,0.912187521
10,50,126,7,0.028328,0.63879,0.043609,,0.915073495
10,50,144,0.01,0.191043,0.283808,0.16239,,0.195356017
10,50,144,0.1,0.172964,0.28802,0.148768,,0.249587838
10,50,144,0.5,0.115439,0.315319,0.106569,,0.464019241
10,50,144,1,0.074759,0.348567,0.076602,,0.646801756
10,50,144,2,0.041001,0.422039,0.054115,,0.822905149
10,50,144,3,0.030924,0.483125,0.045291,,0.879684622
10,50,144,4,0.028215,0.534728,0.044086,,0.899758945
10,50,144,5,0.027463,0.573378,0.043511,,0.9085848
10,50,144,6,0.027155,0.601909,0.043166,,0.913665382
10,50,144,7,0.027669,0.6352,0.04299,,0.916517442
10,50,162,0.01,0.191039,0.28379,0.162167,,0.195335584
10,50,162,0.1,0.172927,0.287891,0.148456,,0.249478102
10,50,162,0.5,0.115283,0.314778,0.106285,,0.463876055
10,50,162,1,0.074507,0.347563,0.076413,,0.64694482
10,50,162,2,0.040661,0.42062,0.053886,,0.82370399
10,50,162,3,0.030562,0.481645,0.04506,,0.880665434
10,50,162,4,0.027844,0.533274,0.043722,,0.900755278
10,50,162,5,0.027076,0.571627,0.042994,,0.909551146
10,50,162,6,0.026753,0.599693,0.042808,,0.914588009
10,50,162,7,0.02726,0.633086,0.042854,,0.917437222
10,50,180,0.01,0.191038,0.283785,0.162685,,0.195329628
10,50,180,0.1,0.172914,0.287848,0.148213,,0.249443313
10,50,180,0.5,0.115231,0.314486,0.106213,,0.463688893
10,50,180,1,0.074402,0.347222,0.076073,,0.647069427
10,50,180,2,0.040539,0.42018,0.053991,,0.824018545
10,50,180,3,0.030446,0.481171,0.045079,,0.880981281
10,50,180,4,0.027713,0.532835,0.043706,,0.901121759
10,50,180,5,0.02694,0.570931,0.042824,,0.909880225
10,50,180,6,0.026613,0.599222,0.04291,,0.914952024
10,50,180,7,0.027114,0.632572,0.042817,,0.917797255
10,60,0,0.01,0.190785,0.284246,0.160798,,0.19674716
10,60,0,0.1,0.170651,0.291586,0.147216,,0.261629857
10,60,0,0.5,0.109246,0.334043,0.104982,,0.507111613
10,60,0,1,0.069731,0.377325,0.078446,,0.688043556
10,60,0,2,0.040902,0.460517,0.059426,,0.836855005
10,60,0,3,0.034045,0.524036,0.053679,,0.877992621
10,60,0,4,0.032856,0.576797,0.053591,,0.892214096
10,60,0,5,0.032748,0.613731,0.053511,,0.898688124
10,60,0,6,0.032773,0.64081,0.053209,,0.902690537
10,60,0,7,0.033749,0.67488,0.052752,,0.904748465
10,60,18,0.01,0.190782,0.284235,0.160887,,0.196736117
10,60,18,0.1,0.170635,0.291508,0.146794,,0.261548915
10,60,18,0.5,0.109156,0.333735,0.104795,,0.507075104
10,60,18,1,0.069595,0.376923,0.07777,,0.688276844
10,60,18,2,0.040734,0.459901,0.059295,,0.837270666
10,60,18,3,0.033864,0.52319,0.053761,,0.878417532
10,60,18,4,0.032665,0.575736,0.053237,,0.892620163
10,60,18,5,0.032571,0.612749,0.053224,,0.899054733
10,60,18,6,0.032565,0.640238,0.053013,,0.903196032
10,60,18,7,0.033538,0.674028,0.052669,,0.905201776
10,60,36,0.01,0.190776,0.284208,0.160701,,0.196705573
10,60,36,0.1,0.170579,0.291265,0.146607,,0.261313344
10,60,36,0.5,0.108867,0.332695,0.104112,,0.506900503
10,60,36,1,0.0692,0.375393,0.077334,,0.688704051
10,60,36,2,0.040219,0.457457,0.058568,,0.838372757
10,60,36,3,0.033326,0.520494,0.053781,,0.879650428
10,60,36,4,0.032108,0.57264,0.052242,,0.893813622
10,60,36,5,0.031989,0.609995,0.052795,,0.900343311
10,60,36,6,0.031947,0.63745,0.052284,,0.904549916
10,60,36,7,0.032883,0.670599,0.052051,,0.906513599
10,60,54,0.01,0.190767,0.284167,0.160306,,0.196658904
10,60,54,0.1,0.170487,0.290901,0.146077,,0.26098208
10,60,54,0.5,0.108511,0.331059,0.103509,,0.506285688
10,60,54,1,0.068593,0.373006,0.076722,,0.689342594
10,60,54,2,0.039473,0.454307,0.057502,,0.840119081
10,60,54,3,0.032527,0.516817,0.052745,,0.881578756
10,60,54,4,0.031279,0.568514,0.051216,,0.895700683
10,60,54,5,0.031137,0.60576,0.052106,,0.902222808
10,60,54,6,0.031049,0.633049,0.051252,,0.906492716
10,60,54,7,0.031932,0.666322,0.05064,,0.908537581
10,60,72,0.01,0.190756,0.284119,0.159628,,0.196605422
10,60,72,0.1,0.170378,0.290474,0.145087,,0.260595593
10,60,72,0.5,0.108084,0.32921,0.102759,,0.505668955
10,60,72,1,0.067894,0.370301,0.076051,,0.690119696
10,60,72,2,0.038602,0.450361,0.056724,,0.842106662
10,60,72,3,0.03159,0.512622,0.051195,,0.883905537
10,60,72,4,0.030306,0.563766,0.050244,,0.897971963
10,60,72,5,0.030134,0.601126,0.051358,,0.904527453
10,60,72,6,0.030018,0.627872,0.050126,,0.908744623
10,60,72,7,0.030831,0.660875,0.049772,,0.91085519
10,60,90,0.01,0.190745,0.284069,0.15934,,0.196548543
10,60,90,0.1,0.170261,0.290045,0.145242,,0.260226893
10,60,90,0.5,0.107582,0.327172,0.102018,,0.505090235
10,60,90,1,0.067171,0.367566,0.075276,,0.690980984
10,60,90,2,0.037701,0.446585,0.055962,,0.844302747
10,60,90,3,0.030619,0.508427,0.050046,,0.886395595
10,60,90,4,0.029294,0.558935,0.049363,,0.900399334
10,60,90,5,0.029095,0.596317,0.050396,,0.906957334
10,60,90,6,0.028963,0.622511,0.049339,,0.911084709
10,60,90,7,0.029698,0.655698,0.048773,,0.913340609
10,60,108,0.01,0.190733,0.284023,0.158885,,0.196500939
10,60,108,0.1,0.17015,0.289669,0.144931,,0.259926188
10,60,108,0.5,0.107168,0.325498,0.10184,,0.50461557
10,60,108,1,0.066486,0.364869,0.07457,,0.691734186
10,60,108,2,0.036851,0.443107,0.055705,,0.84644073
10,60,108,3,0.029715,0.504567,0.048685,,0.888766606
10,60,108,4,0.028365,0.554671,0.048209,,0.902698976
10,60,108,5,0.028142,0.591879,0.04954,,0.90922243
10,60,108,6,0.027997,0.617812,0.048221,,0.913296346
10,60,108,7,0.028666,0.651023,0.047715,,0.915649657
10,60,126,0.01,0.190724,0.283983,0.158697,,0.196455919
10,60,126,0.1,0.170056,0.289367,0.144917,,0.25969749
10,60,126,0.5,0.106776,0.324108,0.101513,,0.504386331
10,60,126,1,0.065902,0.362852,0.07415,,0.692588291
10,60,126,2,0.036143,0.440383,0.055182,,0.848306283
10,60,126,3,0.028959,0.501623,0.048044,,0.890840624
10,60,126,4,0.027588,0.551205,0.047508,,0.904670582
10,60,126,5,0.027344,0.588085,0.048083,,0.911138409
10,60,126,6,0.027185,0.613947,0.047091,,0.915196871
10,60,126,7,0.027801,0.646873,0.046904,,0.917586864
10,60,144,0.01,0.190716,0.283953,0.159655,,0.196425298
10,60,144,0.1,0.169984,0.289154,0.145222,,0.259551595
10,60,144,0.5,0.1065,0.323195,0.101362,,0.504299561
10,60,144,1,0.065484,0.361338,0.07341,,0.693155461
10,60,144,2,0.035599,0.438397,0.055031,,0.849791981
10,60,144,3,0.028395,0.4994,0.047637,,0.892401406
10,60,144,4,0.027006,0.548859,0.047446,,0.906207184
10,60,144,5,0.026739,0.585236,0.047183,,0.912614077
10,60,144,6,0.026571,0.610947,0.046735,,0.916642354
10,60,144,7,0.027155,0.643634,0.046757,,0.919035643
10,60,162,0.01,0.190711,0.283935,0.159206,,0.196407428
10,60,162,0.1,0.16994,0.28903,0.144503,,0.259472297
10,60,162,0.5,0.106335,0.322727,0.101557,,0.504337368
10,60,162,1,0.065232,0.36033,0.072937,,0.693431274
10,60,162,2,0.035259,0.437306,0.055007,,0.850776084
10,60,162,3,0.028043,0.498162,0.0475,,0.893414164
10,60,162,4,0.026643,0.547524,0.047499,,0.907194248
10,60,162,5,0.026362,0.583584,0.046769,,0.913559561
10,60,162,6,0.026175,0.60913,0.04676,,0.917598634
10,60,162,7,0.026751,0.641584,0.046708,,0.919947332
10,60,180,0.01,0.190709,0.283931,0.1597,,0.196405697
10,60,180,0.1,0.169925,0.288992,0.144685,,0.259452145
10,60,180,0.5,0.106276,0.322637,0.10164,,0.504440294
10,60,180,1,0.065134,0.36003,0.072702,,0.693605291
10,60,180,2,0.035135,0.436883,0.055113,,0.851128559
10,60,180,3,0.02793,0.49775,0.047752,,0.893737635
10,60,180,4,0.026508,0.547132,0.047983,,0.907579667
10,60,180,5,0.026233,0.582912,0.046479,,0.91386944
10,60,180,6,0.026031,0.608737,0.046733,,0.917982633
10,60,180,7,0.02661,0.641214,0.046738,,0.920308345
20,30,0,0.01,0.191312,0.284162,0.171237,,0.195278817
20,30,0,0.1,0.176407,0.289941,0.158716,,0.243453387
20,30,0,0.5,0.128353,0.324867,0.121678,,0.433595163
20,30,0,1,0.09427,0.375808,0.095113,,0.598917626
20,30,0,2,0.062225,0.46069,0.071406,,0.76200721
20,30,0,3,0.050849,0.533525,0.062776,,0.825971039
20,30,0,4,0.046193,0.593729,0.059359,,0.85562928
20,30,0,5,0.044652,0.639739,0.058831,,0.869513188
20,30,0,6,0.04445,0.678324,0.058138,,0.877001663
20,30,0,7,0.044905,0.709585,0.059153,,0.880965951
20,30,18,0.01,0.191309,0.284148,0.171232,,0.195262663
