SZ,VZ,VA,gLAI,BRF_toc,BRF_toc(NIR),BRF_toa,,NDVI
10,50,0,0.1,0.174433,0.290221,0.152789,,0.249191872
10,50,0,0.5,0.120796,0.324509,0.113933,,0.457468477
10,50,0,1,0.082838,0.365834,0.085796,,0.630741388
10,50,0,2,0.051086,0.447147,0.063849,,0.794931287
10,50,0,3,0.041187,0.518631,0.056394,,0.85285575
10,50,0,4,0.038348,0.570067,0.054741,,0.873941307
10,50,0,5,0.03799,0.612939,0.054996,,0.88327452
10,50,0,6,0.038286,0.647356,0.0541,,0.888320727
10,50,0,7,0.039013,0.68158,0.055291,,0.891719736
10,50,18,0.01,0.191209,0.284033,0.165034,,0.195319437
10,50,18,0.1,0.17442,0.290162,0.15252,,0.249131477
10,50,18,0.5,0.120719,0.324262,0.113399,,0.45741953
10,50,18,1,0.082701,0.365366,0.085655,,0.630854314
10,50,18,2,0.050894,0.446483,0.063549,,0.795350408
10,50,18,3,0.040992,0.517785,0.05616,,0.853279573
10,50,18,4,0.038131,0.56895,0.05429,,0.874379201
10,50,18,5,0.037783,0.612008,0.054562,,0.883707223
10,50,18,6,0.038065,0.646296,0.05341,,0.888757542
10,50,18,7,0.038761,0.680542,0.054744,,0.892226225
10,50,36,0.01,0.191204,0.28401,0.165042,,0.195293068
10,50,36,0.1,0.174374,0.289969,0.152362,,0.24894313
10,50,36,0.5,0.120536,0.32328,0.113319,,0.456819943
10,50,36,1,0.082317,0.363952,0.08511,,0.631087976
10,50,36,2,0.050377,0.444247,0.062915,,0.796301837
10,50,36,3,0.040421,0.514817,0.055378,,0.854401176
10,50,36,4,0.037527,0.565815,0.053403,,0.875602892
10,50,36,5,0.037168,0.609122,0.053759,,0.884980427
10,50,36,6,0.03741,0.643248,0.052558,,0.890076955
10,50,36,7,0.038069,0.677228,0.053864,,0.893557501
10,50,54,0.01,0.191198,0.283976,0.164412,,0.195250582
10,50,54,0.1,0.1743,0.289673,0.151474,,0.248663177
10,50,54,0.5,0.120181,0.321968,0.112612,,0.456377827
10,50,54,1,0.081753,0.361677,0.084452,,0.631269873
10,50,54,2,0.049636,0.441001,0.061795,,0.797667114
10,50,54,3,0.039593,0.510993,0.054463,,0.85617869
10,50,54,4,0.036682,0.561652,0.052591,,0.877386209
10,50,54,5,0.03629,0.604893,0.053149,,0.886802988
10,50,54,6,0.036483,0.638722,0.051721,,0.891935042
10,50,54,7,0.037089,0.672165,0.052918,,0.895414055
10,50,72,0.01,0.191191,0.283936,0.164106,,0.195200441
10,50,72,0.1,0.174215,0.289319,0.150549,,0.248318354
10,50,72,0.5,0.11983,0.320299,0.111666,,0.455477826
10,50,72,1,0.081101,0.359201,0.08317,,0.631611939
10,50,72,2,0.048779,0.437304,0.06045,,0.799297651
10,50,72,3,0.038645,0.506532,0.053072,,0.858229529
10,50,72,4,0.035701,0.556926,0.051418,,0.879516121
10,50,72,5,0.035283,0.599642,0.05158,,0.888859314
10,50,72,6,0.035421,0.633636,0.050287,,0.894116645
10,50,72,7,0.035964,0.666501,0.051583,,0.897606286
10,50,90,0.01,0.191182,0.283893,0.163215,,0.195150239
10,50,90,0.1,0.174124,0.288951,0.150124,,0.247966312
10,50,90,0.5,0.119412,0.318688,0.110998,,0.454864186
10,50,90,1,0.080445,0.356487,0.082539,,0.631773365
10,50,90,2,0.047899,0.433586,0.059602,,0.801036377
10,50,90,3,0.037687,0.50214,0.051839,,0.860373786
10,50,90,4,0.034709,0.552294,0.050484,,0.881741661
10,50,90,5,0.034269,0.594308,0.050304,,0.890963239
10,50,90,6,0.034359,0.628485,0.049088,,0.896328548
10,50,90,7,0.034842,0.660663,0.050311,,0.899808053
10,50,108,0.01,0.191174,0.283854,0.163055,,0.195104289
10,50,108,0.1,0.174038,0.288616,0.149902,,0.247653754
10,50,108,0.5,0.119079,0.317192,0.110326,,0.454105361
